"
भाई। सूफर।गाना
"
"
Amrinder Gill voice is osm ❤️❤️❤️❤️❤️
"
"
भाई जी ग्रेट हो
"
"
Dosto aj sab kch zaya hogya..aj mre life jesy khtm hogai....
"
"
Punjab de loki fuddu hoyi jaande ne bhenchod karan aujla sidhoo moose waale de gaaneya de 500 million views te jo asal ch punjab nu te punjab di dharti ehdi folk singing nu represent karda hai aaj de samay vich v ohde 30 million views oh v 6 saal ch. kithe jaa reha hai punjab
"
"
Berry November song
"
"
जिसके साथ बैठ के ये गाना सुनता था वो बेशक आज साथ नही है लेकिन ये गाना सुन के उसका अहसास कर लेता हूँ।। और ये मूवी तो बस।।। क्या कहूँ अब।। कहीं यही कमेंट बॉक्स में रोने ना लग जाऊ।। थैंक यू अमरिंदर गिल।। ❤️❤️❤️❤️❤️❤️❤️❤️
"
"
""It,s march 8 2022""
"
"
Kon kon ronda song sunke
"
"
Osm song jinha marzi Sun lo maan ni parhda
"
"
ABHI THEK HAI SAB KUCH?
"
"
""This song hits different....!
Still favourite ❤️ :)""
"
"
Always fvrt
"
"
Wet yet a was swq
"
"
Mkikbsji
"
"
@Jassubhangal❤️
"
"
Assalamualaikum
"
"
Movie name
"
"
Kon kon 2022 me sn raha ye gana?
"
"
This song👏👏👏👏👏
"
"
Copy song Pakistan   mosin abbas song
"
"
22 swaad bohat aaya sunke kaas hor lambaa  hundaa song
"
"
Oh milne da vehla pta ni kad aaouna 🙃 3 sal tan ho gye
"
"
Amrinder gill rocks as always
"
"
Tone ❤️❤️❤️
"
"
Tone ❤️❤️❤️
"
"
Amrinder gill end a yar
"
"
Edda DE geet hor aun do
"
"
Song ❤️❤️❤️
"
"
6 feb 2022 this line kuj mere ronn diyaa tere vakh hon diyannn.. my heart is crying.. i am in deep pain💔
"
"
KA forever ❤️
"
"
24feb.
"
"
Bhut bhut pyara song h
"
"
Dedicating it to myself
"
"
sirr song y ji
"
"
Kyaa baat ❤️❤️❤️
"
"
Nostalgic
"
"
Jaha ishq poora na ho sake....wahi shiddat wala ishq hota hai.....aisa kyu??? Saal darr saal beet jate hai.......par lagta hai jaise aaj bhi hum wahi hai jaha se raste alag huye......
"
"
ਏਨੀ ਛੇਤੀ ਕਿਉੰ ਖ਼ਤਮ ਹੋ ਜਾਂਦੇ ਏਦਾ ਦੇ ਗਾਣੇ 🥲😡
"
"
❤️❤️❤️❤️❤️❤️
"
"
""Jad mil ke baithange ta gallan
Bahut karniya ne
Jad mil ke baithange ta gallan
Bahut karniya ne

Kujh mere raun diya
Tere vakh ho diya haye
Launa gall de nal tainu
Main akhaan pher bharniya ne

Jad mil ke bethange ta gallan
Bahut karniya ne
Jad mil ke bethange ta gallan
Bahut karniya ne

Main pucchna waqt beetein toh
Kivve langhya si mere bin
Main raatan jag ke kattiyan
Kivve nikle si tere din
Main sajna pher tere lai
Ve peeda aap jarniya ne

Jad mil ke baithange ta gallan
Bahut karniya ne..(2x)""
"
"
ਕਦੇ ਕਦੇ ਨਾਲ਼ ਰਹਿਣ ਵਾਲੇ ਨਾਲ਼ ਵੀ ਗੱਲਾਂ ਕਰਨ ਦਾ ਤੇ ਮਨ ਹੌਲਾ ਕਰਨ ਦਾ ਮਨ ਕਰਦਾ ਹੈ
"
"
I have nothing to say
"
"
2022
"
"
Hi
"
"
HUH
"
"
SUS
"
"
Kuch batain adhori reh hai hmare bich
"
"
dil ko chu jane wala song h
"
"
I miss my love ❤️ ....he died and this is 6th year without him
"
"
Made my day
"
"
❤️❤️❤️
"
"
Dosti pyaar ch badal rahi c taan mean darr gya c dukhi pehla he bohut c tu hoor dukh dean de Himmat nahi c teanu iss lai mean piche mudh Gaya
"
"
Baar baar dekhti hu is movie all actors salute
"
"
Dr.Abdul Qadeer Khan || Aik Din Geo Kay Sath || Sohail Warraich
"
"
Those who had suffered breakup......just be happy that he /she is breathing.....kabhi kabhi kuch chizein ham chah skte paa nhi skte......i still miss my ex but bas wo khush rhe ❤️
"
"
You Should add some more lines in this song...
"
"
❤️❤️
"
"
😐😐😐😐😐😐😐😐😐
"
"
Bohat hi sona aa song
"
"
main puchna waqt bette toh kive langya mere binnnnnnnnnnnnn
"
"
""Amrinder gill di playlist vich dekho othe complete song hai,""
"
"
Who is listening is song in January 2022
"
"
2022 kon kon son rha daso
"
"
❤️❤️
"
"
Osm song feel it
"
"
Any one tell the movie name
"
"
2022 me kon kon sun rha h ye gana
"
"
2021
"
"
202
"
"
kaash mil key beth jye murshad
"
"
👍👍👍
"
"
❤️❤️💯💯
"
"
Jitna bhi suno Kam lagta hai
"
"
For a memory...❤️✌️
"
"
Kash ik bar mere papa menu ik bar Milan mere nal bhut gallan karn
"
"
Song still.alive
"
"
Who is still listening to this song in December 2021 ❤️
"
"
My favourite song ever
"
"
Amrinder Gill ❤️
"
"
Movie ❤️
"
"
Lub u bhut saara gill Saab tuhadi gall wakhri ji
"
"
❤️❤️❤️❤️❤️
"
"
Kon kon sunn rhea hajri lawao
"
"
❤️❤️❤️❤️❤️❤️
"
"
Bht short lgta h dl nhi bhrta or khtm
"
"
mere sis a song su.nde hunde c
"
"
My all time favourite
"
"
🌜
"
"
@sahil kotwal
"
"
Kavyeaa 🥺❤️
"
"
Who listening to this december 🙄 🙄
"
"
Remind me someone spcl😑😑
"
"
Movie name
"
"
Comment section is full of emotion ❤️ WMK❤️
"
"
Àaàa
"
"
Amrinder gill evergreen singer.
"
"
🤍
"
"
When i was getting divorced last year i used to listen to this song with hope that maybe we will share all the sorrows with each other again about what we both were going through but that thing never happened. I still miss him though whenever i listen to this song.
"
"
Kis kis da hun v favourite song aa ❤️❤️❤️❤️
"
"
Anyone listening in lockdown
"
"
evergreen song
"
"
Aysa ni hoga q k ab sb bdal gya h
"
"
If you left your girlfriend you will feel this
"
"
Riste me pyar ho to ruk Jana chahiye par lalach or dhokhe me kya kare
"
"
Very nyc song❤️❤️❤️
"
"
Evergreen ❤️
"
"
👍👍👍👍👍
"
"
Both sides of Punjab singing this song for one other !
"
"
I lv this song and listening many time or movie also watch many time
"
"
still  listening in 2021
"
"
""Bas mil ke hi beth na ske kde v 
مل کر بیٹھ حی ن سکے کبھی""
"
"
Mera pind
"
"
Such a master piece song
"
"
A❤M
"
"
Samjh nhi aayi itni kadi Punjabi but kuch lga mera time pe jo hua
"
"
inshallah
"
"
Waiting
"
"
Akshay 🕉️❤️
"
"
siraaaa song dil nu shuh jan wala
"
"
This song always reminds me of my mother..she left us in sep 2013
"
"
I dedicate this song to my mom and dad
"
"
Is gana suna k baad meri bandi na mujko mara bhut ....
"
"
18-11-21 Assam
"
"
One of the master piece of punjabi songs.
"
"
16 November  2021
"
"
Hyyyyy🙈
"
"
Long distance relationship aa mera meri jan Canada me bathinda aa but ummed aa k ek din mila ge eh song dilasa de dinda menu ajh door hoye 1 sall ho gye
"
"
The last line… says it all.
"
"
i am still thinking you missing me. promise i will come back soon 🇨🇦
"
"
S
"
"
8 Nov 2021
"
"
Same
"
"
❤️lona gal de nal tenu
"
"
ਸਕੂਨ🕊
"
"
❤️❤️
"
"
👍👍👍
"
"
❤️❤️❤️
"
"
Which movie was this???
"
"
Mai puchna wapt b tethu kida langya  c mere bin..mai rata jaag k katiya kida langye c Tere ...
"
"
❤️❤️
"
"
""Its Oct 2021,who is listening to this emotion.""
"
"
Let them go
"
"
🙏🙏🙏
"
"
""If I feel down, this is the place where I come to uplift myself..""
"
"
haye...
"
"
🥺🥺🥺❤️❤️
"
"
Ae 27 millions views ni ..... 2700 millions ne .... jo amrinder gill nu follow krda...ik ik follower 100 de braber aa 🤟💯
"
"
1:47
"
"
My
"
"
❤️❤️❤️❤️❤️
"
"
❤️❤️
"
"
Very touching song
"
"
17 October 2021 early morning 0400 listening in Dubai
"
"
Oct 15 2021
"
"
One of my favourite songs❤️
"
"
INDIA
"
"
MIX
"
"
MUSIC
"
"
NOT
"
"
Feel the music🎶🎶
"
"
2021
"
"
Sajid
"
"
""Sada sanja Punjab ❤️❤️❤️🇵🇰🇵🇰
My all time favourite ❤️❤️❤️""
"
"
Am listening this song 2days before my divorce
"
"
Yh song Dill ko sakoon deta hy...schii
"
