"
Good
"
"
This song is real love ❤️
"
"
😄😄😄😄Milan da Nam na Lai 😄😄😄 20 kilo day hathooday naal kutoon ga 😀😀😀😀❤️❤️
"
"
One in my favorite song
"
"
واہ یار گیجے ♥️♥️♥️
"
"
Respect to Amrinder gill....he is the best in Industry to come out with such great songs everytime ❤️
"
"
I love this song 😔
"
"
I luv this song 💝
"
"
Nice👍
"
"
She left me in 2013 because her family is not ready to accept me due to my income they told me I am not eligible to take her responsibility and they forced her to get married to a boy who's salary is 5lakhs per month I have met that guy and now they are married and even she have two kids but still in 2022 7th of March I'm not able to move on and this song is related to our relationship. Miss you you will always be in my heart.
"
"
Song is simply awesome💓🇵🇰
"
"
This song realized me that someone missing me love me a lot and remove all distances between us 💌❤️ amazing song
"
"
😔😔
"
"
🎉
"
"
No words can praise or explain or define the feelings or emotions which anyone can feel after listening this song.......
"
"
Iss gane ko sunne ke baad mene apna 4000 kg weight loss kiya 😊
"
"
Yay knse move ka song hay plz tell me??????
"
"
Best song for long distance relationships 🙃🥺♥️♥️♥️
"
"
heart touching song
"
"
So interesting this song o my god 🤔
"
"
Very soothing rooh ko sukoon Dene wala song h
"
"
I miss my dog alot today.... Come back please❤🙏🙏
"
"
Love you my love husband I miss you so much
"
"
Heart touching song
"
"
A smooth and best song
"
"
I miss my love 😔
"
"
💚
"
"
No doubt truly a masterpiece on Punjabi culture.
"
"
I miss you😔Gagan love u❤so much plz come back I want talk to u🥺
"
"
So beautiful song
"
"
Every  one talking about  their love nd family  but I really missed my friend  he went to canada 5 month ago we were enjoy lot together but now we are not I just missed the time spent with him 😕😕
"
"
I know I have to let you go one day i don't know after that we are ever gonna be in touch or not but if u ever see this msg just remember I ll be here always waiting for your single text or call u don't know what u r to me I can't even explain ever .. but I really love you ❤️ I only wish u alot of happiness m here always and i can't ever stop loving you ❤️ I promise to love you no matter u r with me or not ur one nd only chuja ❤️👻🐥
"
"
""Can't express the deep pain inside my soul .....
This song's remind me my best time with you DAD I always miss you.""
"
"
Miss you some one😒Very heart touching song
"
"
My favorite singer best singer and best persone
"
"
""Enough to satisfy the soul, just imagine the beloved or God.""
"
"
Good
"
"
are you sad ?  no problem listen this song 😅❤️
"
"
It has been 9 years i never met her never hd a word with her but still she beats in my heart miss her remember her and love her till my last breath.
"
"
Bhot nice song aa
"
"
""I love u hubby .i really love u,miss u sharat""
"
"
It's very close to my heart ❤️
"
"
""Miss you mere bhai mahesh 
Tu meri duniya tha tere sath me sbko bhul jata tha teri wo baate aur aadhi raat ko amrai ghat udaipur jake dono cigrette pite the tune kha tha hum sath me budhapa dekhemge tu jadi muje chod ke chala. Gya bhai tere sath bhut kuch bitaya 
Teri bhut yaad aati h ❤️🥺
Please ho ske to laut aa""
"
"
💔💔💔💔💔
"
"
This song is my all life favorite 💘💘💘💘💘💘
"
"
This song is my heart voice.. Want to send my ex and ask all these question and want see the same pain in his eye that i feel
"
"
very nice song very nice video
"
"
""Love This Masterpiece Punjabi Song, 🖤""
"
"
Track is too short man... must be at least 5 mins... such a sweet track... hatsoff gill bro...
"
"
this song gives peace to my  mind ❤🔥
"
"
💔😶
"
"
My favorite songs ❣️
"
"
Sach a heart touching song☹☹
"
"
My favorite song
"
"
Great ever green song 🥺love from Pakistan
"
"
This song vry 💖 touching miss u mumma
"
"
Paida hai to pyaar hai. 🙂
"
"
Love from 🇵🇰 🇬🇧 🇺🇸  angrej movies songs are the master piece can't get old
"
"
My favorite song I like this song so much I am the biggest fan amrinder gill bro NIC always keep shine
"
"
Proud to be an punjaban
"
"
Great-great-great... Ve :)
"
"
""Beautiful song  ,😩🥺🔥🥀""
"
"
🙂♥️🙂
"
